?cls,?mondo_label,?definition,?gene,?gene_label
<http://purl.obolibrary.org/obo/MONDO_0014193>,primary ciliary dyskinesia 23,Any primary ciliary dyskinesia in which the cause of the disease is a mutation in the ARMC4 gene.,<http://identifiers.org/hgnc/25583>,ODAD2
<http://purl.obolibrary.org/obo/MONDO_0012672>,cholelithiasis,The presence of calculi in the gallbladder.,<http://identifiers.org/hgnc/13887>,ABCG8
<http://purl.obolibrary.org/obo/MONDO_0010555>,X-linked chondrodysplasia punctata 1,"Brachytelephalangic chondrodysplasia punctata (BCDP) is a form of nonrhizomelic chondrodysplasia punctata, a primary bone dysplasia, characterized by hypoplasia of the distal phalanges of the fingers, nasal hypoplasia, epiphyseal stippling appearing in the first year of life, and mild and nonrhizomelic shortness of the long bones.",<http://identifiers.org/hgnc/719>,ARSL
<http://purl.obolibrary.org/obo/MONDO_0014398>,combined oxidative phosphorylation defect type 21,"Combined oxidative phosphorylation defect type 21 is a rare mitochondrial disease characterized by axial hypotonia with limb hypertonia, developmental delay, hyperlactatemia, central nervous system anomalies visible on magnetic resonance imaging (e.g. corpus callosum hypoplasia, lesions of the globus pallidus) and multiple deficiency of the mitochondrial respiratory chain complexes in muscle tissue, but not in fibroblasts or liver.",<http://identifiers.org/hgnc/30740>,TARS2
<http://purl.obolibrary.org/obo/MONDO_0009426>,hypoparathyroidism-retardation-dysmorphism syndrome,"Sanjad-Sakati syndrome (SSS), also known as hypoparathyroidism - intellectual disability-dysmorphism, is a rare multiple congenital anomaly syndrome, mainly occurring in the Middle East and the Arabian Gulf countries, characterized by intrauterine growth restriction at birth, microcephaly, congenital hypoparathyroidism (that can cause hypocalcemic tetany or seizures in infancy), severe growth retardation, typical facial features (long narrow face, deep-set eyes, beaked nose, floppy and large ears, long philtrum, thin lips and micrognathia), and mild to moderate intellectual deficiency. Ocular findings (i.e. nanophthalmos, retinal vascular tortuosity and corneal opacification/clouding) and superior mesenteric artery syndrome have also been reported. Although SSS shares the same locus with the autosomal recessive form of Kenny-Caffey syndrome, the latter differs from SSS by its normal intelligence and skeletal features.",<http://identifiers.org/hgnc/11582>,TBCE
<http://purl.obolibrary.org/obo/MONDO_0007167>,atelosteogenesis type I,"Atelosteogenesis I is a perinatally lethal skeletal dysplasia characterized by severe short-limbed dwarfism, joint dislocations, club feet along with distinctive facies and radiographic findings.",<http://identifiers.org/hgnc/3755>,FLNB
<http://purl.obolibrary.org/obo/MONDO_0008818>,arterial tortuosity syndrome,"Arterial tortuosity syndrome (ATS) is a rare connective tissue disorder characterized by tortuosity and elongation of the large and medium-sized arteries and a propensity towards aneurysm formation, vascular dissection, and stenosis of the pulmonary arteries.",<http://identifiers.org/hgnc/13444>,SLC2A10
<http://purl.obolibrary.org/obo/MONDO_0016825>,mitochondrial myopathy-lactic acidosis-deafness syndrome,"Mitochondrial myopathy-lactic acidosis-deafness is a type of metabolic myopathy described only in two sisters to date, presenting during childhood, and characterized clinically by growth failure, severe muscle weakness, and moderate sensorineural deafness and biochemically by metabolic acidosis, elevated serum pyruvate concentration, hyperalaninemia and hyperalaninuria. There have been no further descriptions in the literature since 1973.",<http://identifiers.org/hgnc/28900>,PNPLA8
<http://purl.obolibrary.org/obo/MONDO_0009240>,formiminoglutamic aciduria,"Formiminoglutamic aciduria, in its moderate form and in the absence of histidine administration, is characterized by mild developmental delay and elevated concentrations of formiminoglutamate (FIGLU) in the urine. A more severe phenotype has been described in five members of a Japanese family and included severe intellectual deficit, psychomotor retardation and megaloblastic anemia.",<http://identifiers.org/hgnc/3974>,FTCD
<http://purl.obolibrary.org/obo/MONDO_0013837>,deafness-encephaloneuropathy-obesity-valvulopathy syndrome,"Deafness-encephaloneuropathy-obesity-valvulopathy syndrome is a rare mitochondrial disease with marked clinical variability typically characterized by encephalomyopathy, kidney disease (nephrotic syndrome), optic atrophy, early-onset deafness, pancytopenia, obesity, and cardiac disease (valvulopathy). Additionally, macrocephaly, intellectual disability, hyperlactatemia, elevated lactate/pyruvate ratio, insulin-dependent diabetes, livedo reticularis, liver dysfunction and seizures have also been associated.",<http://identifiers.org/hgnc/17759>,PDSS1
<http://purl.obolibrary.org/obo/MONDO_0014716>,macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,"A rare multiple congenital anomalies/dysmorphic syndrome with intellectual disability, characterized by macrocephaly, intellectual disability, seizures, dysmorphic facial features (including tall forehead, downslanting palpebral fissures, hypertelorism, depressed nasal bridge, and macrostomia), megalencephaly, and small thorax. Other reported features are umbilical hernia, muscular hypotonia, global developmental delay, autistic behavior, and café-au-lait spots, among others.",<http://identifiers.org/hgnc/3942>,MTOR
<http://purl.obolibrary.org/obo/MONDO_0008771>,amelogenesis imperfecta type 1G,"An extremely rare syndrome which is characterized by hypoplastic amelogenesis imperfecta (hypoplastic dental enamel) and nephrocalcinosis (precipitation of calcium salts in renal tissue). Oral manifestations include yellow and misshaped teeth, delayed tooth eruption, and intrapulpal calcifications. Nephrocalcinosis is often asymptomatic but can progress during late childhood or early adulthood to impaired renal function (e.g. recurrent urinary infections and renal tubular acidosis), and rarely to end-stage renal failure.",<http://identifiers.org/hgnc/23015>,FAM20A
<http://purl.obolibrary.org/obo/MONDO_0008061>,nail-patella syndrome,"A rare hereditary patellar dysostosis characterized by nail hypoplasia or aplasia, aplastic or hypoplastic patellae, elbow dysplasia, and the presence of iliac horns as well as renal and ocular anomalies.",<http://identifiers.org/hgnc/6654>,LMX1B
<http://purl.obolibrary.org/obo/MONDO_0009025>,apparent mineralocorticoid excess,"Apparent mineralocorticoid excess (AME) is a rare form of pseudohyperaldosteronism characterized by very early-onset and severe hypertension, associated with low renin levels and hypoaldosteronism.",<http://identifiers.org/hgnc/5209>,HSD11B2
<http://purl.obolibrary.org/obo/MONDO_0014419>,ataxia - intellectual disability - oculomotor apraxia - cerebellar cysts syndrome,"Ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome is a rare neuro-ophthalmological disease characterized by nonprogressive cerebellar ataxia, delayed motor and language development, and intellectual disability in addition to ophthalmological abnormalities (e.g. oculomotor apraxia, strabismus, amblyopia, retinal dystrophy, and myopia). Cerebellar cysts, cerebellar dysplasia and cerebellar vermis hypoplasia, seen on magnetic resonance imaging, are also characteristic of the disease.",<http://identifiers.org/hgnc/6481>,LAMA1
<http://purl.obolibrary.org/obo/MONDO_0012165>,BNAR syndrome,"BNAR syndrome is a very rare multiple congenital anomaly syndrome characterized by a bifid nose (with bulbous nasal tip but not associated with hypertelorism) with or without the presence of anal defects (i.e. anteriorly placed anus, rectal stenosis or atresia) and renal dysplasia (unilateral or bilateral renal agenesis) and without intellectual disability. BNAR syndrome is phenotypically related to Fraser syndrome and oculotrichoanal syndrome.",<http://identifiers.org/hgnc/23399>,FREM1
<http://purl.obolibrary.org/obo/MONDO_0009669>,"spinal muscular atrophy, type 1",A severe infantile form of proximal spinal muscular atrophy characterized by severe and progressive muscle weakness and hypotonia resulting from the degeneration and loss of the lower motor neurons in the spinal cord and the brain stem nuclei.,<http://identifiers.org/hgnc/11117>,SMN1
<http://purl.obolibrary.org/obo/MONDO_0009513>,laryngo-onycho-cutaneous syndrome,"LOC syndrome is a subtype of junctional epidermolysis bullosa (JEB) characterized by an altered cry in the neonatal period and by aberrant production of granulation tissue in particular affecting the upper airway tract, conjunctiva and periungual/subungual sites.",<http://identifiers.org/hgnc/6483>,LAMA3
<http://purl.obolibrary.org/obo/MONDO_0008305>,Currarino triad,"Currarino syndrome (CS) is a rare congenital disease characterized by the triad of anorectal malformations (ARMs) (usually anal stenosis), presacral mass (commonly anterior sacral meningocele (ASM) or teratoma) and sacral anomalies (i.e. total or partial agenesis of the sacrum and coccyx or deformity of the sacral vertebrae).",<http://identifiers.org/hgnc/4979>,MNX1
<http://purl.obolibrary.org/obo/MONDO_0010379>,Brunner syndrome,"Monoamine oxidase-A deficiency is a very rare recessive X-linked biogenic amine metabolism disorder characterized clinically by mild intellectual deficit, impulsive aggressiveness, and sometimes violent behavior and presenting from childhood.",<http://identifiers.org/hgnc/6833>,MAOA
<http://purl.obolibrary.org/obo/MONDO_0011528>,hyper-IgM syndrome type 2,"A hyper-IgM syndrome characterized by the absence of immunoglobulin class switch recombination, the lack of immunoglobulin somatic hypermutations, and lymph node hyperplasia caused by the presence of giant germinal centers.",<http://identifiers.org/hgnc/13203>,AICDA
<http://purl.obolibrary.org/obo/MONDO_0014782>,autosomal recessive limb-girdle muscular dystrophy type 2X,"Autosomal recessive limb-girdle muscular dystrophy type 2X is a rare subtype of autosomal recessive limb-girdle muscular dystrophy characterized by atrioventricular block resulting in repeated syncope episodes, elevated creatine kinase serum levels and adult-onset of slowly progressive proximal limb skeletal muscle weakness and atrophy. Muscular dystrophic changes observed in muscle biopsy include diameter variability, increased central nuclei, and presence of necrotic and regenerating fibers.",<http://identifiers.org/hgnc/1152>,BVES
<http://purl.obolibrary.org/obo/MONDO_0010383>,fragile X syndrome,"A genetic syndrome caused by mutations in the FMR1 gene which is responsible for the expression of the fragile X mental retardation 1 protein. This protein participates in neural development. This syndrome is manifested with mental, emotional, behavioral, physical, and learning disabilities.",<http://identifiers.org/hgnc/3945>,FRAXA
<http://purl.obolibrary.org/obo/MONDO_0011464>,spinocerebellar ataxia type 11,"Spinocerebellar ataxia type 11 (SCA11) is a subtype of autosomal dominant cerebellar ataxia type III (ADCA type III) characterized by the early-onset of cerebellar signs, eye movement abnormalities and pyramidal signs.",<http://identifiers.org/hgnc/19141>,TTBK2
<http://purl.obolibrary.org/obo/MONDO_0010047>,hereditary spastic paraplegia 5A,"Autosomal recessive spastic paraplegia type 5A (SPG5A) is a form of hereditary spastic paraplegia characterized by either a pure phenotype of slowly progressive spastic paraplegia of the lower extremities with bladder dysfunction and pes cavus or a complex presentation with additional manifestations including cerebellar signs, nystagmus, distal or generalized muscle atrophy and cognitive impairment. Age of onset is highly variable, ranging from early childhood to adulthood. White matter hyperintensity and cerebellar and spinal cord atrophy may be noted, on brain magnetic resonance imaging, in some patients.",<http://identifiers.org/hgnc/2652>,CYP7B1
<http://purl.obolibrary.org/obo/MONDO_0008763>,Alstrom syndrome,"A multisystemic disorder characterized by cone-rod dystrophy, hearing loss, obesity, insulin resistance and hyperinsulinemia, type 2 diabetes mellitus, dilated cardiomyopathy (DCM), and progressive hepatic and renal dysfunction.",<http://identifiers.org/hgnc/428>,ALMS1
<http://purl.obolibrary.org/obo/MONDO_0009130>,Dyggve-Melchior-Clausen disease,Dyggve-Melchior-Clausen disease (DMC) is a rare skeletal disorder belonging to the group of spondyloepimetaphyseal dysplasias.,<http://identifiers.org/hgnc/21317>,DYM
<http://purl.obolibrary.org/obo/MONDO_0000510>,synucleinopathy,"A neurodegenerative disease that is characterized by the abnormal accumulation of aggregates of alpha-synuclein protein in neurons, nerve fibers or glial cells. [url:http://en.wikipedia.org/wiki/Synucleinopathies ]",<http://identifiers.org/hgnc/11138>,SNCA
<http://purl.obolibrary.org/obo/MONDO_0012290>,CEDNIK syndrome,CEDNIK syndrome is a neurocutaneaous syndrome characterized by severe developmental abnormalities of the nervous system and aberrant differentiation of the epidermis.,<http://identifiers.org/hgnc/11133>,SNAP29
<http://purl.obolibrary.org/obo/MONDO_0013327>,primary hyperoxaluria type 3,Primary hyperoxaluria type 3 (PH3) is a disorder of glyoxylate metabolism that can be asymptomatic or characterized by oxalate nephrolithiasis.,<http://identifiers.org/hgnc/25155>,HOGA1
<http://purl.obolibrary.org/obo/MONDO_0011176>,intestinal hypomagnesemia 1,"Primary hypomagnesemia with secondary hypocalcemia (PHSH) is a form of familial primary hypomagnesemia (FPH), characterized by severe hypomagnesemia and secondary hypocalcemia associated with neurological symptoms, including generalized seizures, tetany and muscle spasms. PHSH may be fatal or may result in chronic irreversible neurological complications.",<http://identifiers.org/hgnc/17995>,TRPM6
<http://purl.obolibrary.org/obo/MONDO_0009662>,mucopolysaccharidosis type 7,Mucopolysaccharidosis type VII (MPS VII) is a very rare lysosomal storage disease belonging to the group of mucopolysaccharidoses.,<http://identifiers.org/hgnc/4696>,GUSB
<http://purl.obolibrary.org/obo/MONDO_0800027>,"leukoencephalopathy, diffuse hereditary, with spheroids 1","A rare autosomal dominant disease characterized by a complex phenotype including progressive dementia, apraxia, apathy, impaired balance, parkinsonism, spasticity and epilepsy.",<http://identifiers.org/hgnc/2433>,CSF1R
<http://purl.obolibrary.org/obo/MONDO_0011472>,epidermolysis bullosa simplex due to plakophilin deficiency,Epidermolysis bullosa simplex due to plakophilin deficiency (EBS-PD) is a suprabasal subtype of epidermolysis bullosa simplex (EBS) characterized by generalized superficial erosions and less commonly blistering.,<http://identifiers.org/hgnc/9023>,PKP1
<http://purl.obolibrary.org/obo/MONDO_0008893>,C syndrome,"C syndrome is a rare multiple congenital anomaly/intellectual disability syndrome characterized by trigonocephaly and metopic suture synostosis, dysmorphic facial features, short neck, skeletal anomalies, and variable intellectual disability.",<http://identifiers.org/hgnc/16892>,CD96
<http://purl.obolibrary.org/obo/MONDO_0014644>,hereditary spastic paraplegia 74,"Autosomal recessive spastic paraplegia type 74 is a rare, genetic, spastic paraplegia-optic atrophy-neuropathy-related (SPOAN-like) disorder characterized by childhood onset of mild to moderate spastic paraparesis which manifests with gait impairment that very slowly progresses into late adulthood, hyperactive patellar reflex and bilateral extensor plantar response, in association with optic atrophy and typical symptoms of peripheral neuropathy, including reduced or absent ankle reflexes, lower limb atrophy and distal sensory impairment. Reduced visual acuity and pes cavus are frequently reported.",<http://identifiers.org/hgnc/27302>,IBA57
<http://purl.obolibrary.org/obo/MONDO_0009338>,hepatic veno-occlusive disease-immunodeficiency syndrome,"Hepatic veno-occlusive disease-immunodeficiency syndrome is characterized by the association of severe hypogammaglobulinemia, combined T and B cell immunodeficiency, absent lymph node germinal centers, absent tissue plasma cells and hepatic veno-occlusive disease.",<http://identifiers.org/hgnc/5401>,SP110
<http://purl.obolibrary.org/obo/MONDO_0014033>,dystonia 25,"Autosomal dominant focal dystonia, DTY25 is a form of focal dystonia, characterized by cervical, laryngeal and hand-forearm dystonia.",<http://identifiers.org/hgnc/4388>,GNAL
<http://purl.obolibrary.org/obo/MONDO_0010339>,"epilepsy, X-linked 1, with variable learning disabilities and behavior disorders","An epilepsy, X-linked, with or without impaired intellectual development and dysmorphic features characterized by epilepsy, learning difficulties, macrocephaly, and aggressive behavior. It has been described in males from a four-generation kindred. It is transmitted as an X-linked recessive trait and is likely to be caused by mutations in the gene encoding synapsin I (Xp11.3-q12).",<http://identifiers.org/hgnc/11494>,SYN1
<http://purl.obolibrary.org/obo/MONDO_0007315>,cherubism,"Cherubism is a rare, self-limiting, fibro-osseous, genetic disease of childhood and adolescence characterized by varying degrees of progressive bilateral enlargement of the mandible and/or maxilla, with clinical repercussions in severe cases.",<http://identifiers.org/hgnc/10825>,SH3BP2
<http://purl.obolibrary.org/obo/MONDO_0012980>,endocrine-cerebro-osteodysplasia syndrome,"Endocrine-cerebro-osteodysplasia (ECO) syndrome is characterized by various anomalies of the endocrine, cerebral, and skeletal systems resulting in neonatal mortality.",<http://identifiers.org/hgnc/21219>,CILK1
<http://purl.obolibrary.org/obo/MONDO_0010523>,X-linked reticulate pigmentary disorder,"X-linked reticulate pigmentary disorder is an extremely rare skin disease described in only four families to date and characterized in males by diffuse reticulate brown hyperpigmentated skin lesions developing in early childhood and a variety of systemic manifestations (recurrent pneumonia, corneal opacification, gastrointestinal inflammation, urethral stricture, failure to thrive, hypohidrosis, digital clubbing, and unruly hair and flared eyebrows), while in females, there is only cutaneous involvement with the development in early childhood of localized brown hyperpigmented skin lesions following the lines of Blaschko. This disease was first considered as a cutaneous amyloidosis, but amyloid deposits are an inconstant feature.",<http://identifiers.org/hgnc/9173>,POLA1
<http://purl.obolibrary.org/obo/MONDO_0008847>,atrichia with papular lesions,"Atrichia with papular lesions is a rare inherited form of alopecia characterized by irreversible hair loss during the neonatal period on all hear-bearing areas of the body, later associated with the development of papular lesions all over the body and preferentially on the face and extensor surfaces of the extremities.",<http://identifiers.org/hgnc/5172>,HR
<http://purl.obolibrary.org/obo/MONDO_0012435>,3-methylglutaconic aciduria type 5,"A syndrome characterized by severe early onset (before the age of three years) dilated cardiomyopathy (DCM) with conduction defects (long QT syndrome), non-progressive cerebellar ataxia, testicular dysgenesis, and 3-methylglutaconic aciduria.",<http://identifiers.org/hgnc/30528>,DNAJC19
<http://purl.obolibrary.org/obo/MONDO_0010808>,fatal familial insomnia,"Fatal familial insomnia (FFI) is a very rare form of prion disease characterized by subacute onset of insomnia showing as a reduced overall sleep time, autonomic dysfunction, and motor disturbances.",<http://identifiers.org/hgnc/9449>,PRNP
<http://purl.obolibrary.org/obo/MONDO_0009064>,ocular cystinosis,"Ocular cystinosis is the benign, adult form of cystinosis, a metabolic disease characterized by an accumulation of cystine crystals in the cornea and conjunctiva responsible for tearing and photophobia and associated with no other additional manifestations.",<http://identifiers.org/hgnc/2518>,CTNS
<http://purl.obolibrary.org/obo/MONDO_0013361>,congenital prothrombin deficiency,"Congenital factor II deficiency is an inherited bleeding disorder due to reduced activity of factor II (FII, prothrombin) and characterized by mucocutaneous bleeding symptoms.",<http://identifiers.org/hgnc/3535>,F2
<http://purl.obolibrary.org/obo/MONDO_0011631>,hemochromatosis type 4,A form of rare hemochromatosis (HC) characterized by increased transferrin saturation and hepatocellular iron deposition with distribution patterns and clinical features indistinguishable from patients with other types of HC.,<http://identifiers.org/hgnc/10909>,SLC40A1
<http://purl.obolibrary.org/obo/MONDO_0007964>,"melanoma, cutaneous malignant, susceptibility to, 2","Clinically atypical nevi (usually exceeding 5 mm in diameter and having variable pigmentation and ill defined borders) with an increased risk for development of non-familial cutaneous malignant melanoma. Biopsies show melanocytic dysplasia. Nevi are clinically and histologically identical to the precursor lesions for melanoma in the B-K mole syndrome. (Stedman, 25th ed)",<http://identifiers.org/hgnc/1787>,CDKN2A
<http://purl.obolibrary.org/obo/MONDO_0034823>,oral-facial-digital syndrome with short stature and brachymesophalangy,"A rare ciliopathy characterized by oral anomalies (multiple oral frenula, missing incisors), facial dysmorphism (such as square face with small forehead, upslanting palpebral fissures, and cleft lip, among other features), digital anomalies (brachydactyly, brachymesophalangy, polydactyly), and short stature. Additional reported manifestations include short femoral neck, bilateral cervical ribs, abnormal vertebral bodies, and gracile long bones.",<http://identifiers.org/hgnc/17367>,IFT57
<http://purl.obolibrary.org/obo/MONDO_0008723>,very long chain acyl-CoA dehydrogenase deficiency,"An inherited disorder of mitochondrial long-chain fatty acid oxidation with a variable presentation including: cardiomyopathy, hypoketotic hypoglycemia, liver disease, exercise intolerance and rhabdomyolysis.",<http://identifiers.org/hgnc/92>,ACADVL
<http://purl.obolibrary.org/obo/MONDO_0010420>,X-linked erythropoietic protoporphyria,X-linked form of erythropoietic protoporphyria.,<http://identifiers.org/hgnc/397>,ALAS2
<http://purl.obolibrary.org/obo/MONDO_0011897>,leukoencephalopathy-ataxia-hypodontia-hypomyelination syndrome,"A syndrome is characterized by ataxia, delayed dentition, hypomyelination and cerebral atrophy. So far, eight cases have been described.",<http://identifiers.org/hgnc/30074>,POLR3A
<http://purl.obolibrary.org/obo/MONDO_0014386>,platelet-type bleeding disorder 18,"Bleeding disorder due to CalDAG-GEFI deficiency is a rare hematologic disease due to defective platelet function and characterized by mucocutaneous bleeding starting in infancy (around 18 months of age), presenting with prolonged and severe epistaxis, hematomas and bleeding after tooth extraction. Massive menorrhagia and chronic anemia have also been reported.",<http://identifiers.org/hgnc/9879>,RASGRP2
<http://purl.obolibrary.org/obo/MONDO_0012544>,brachydactyly-syndactyly syndrome,"Brachydactyly-syndactyly, Zhao type is a recently described syndrome associating a brachydactyly type A4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. Metacarpals and metatarsals anomalies are common.",<http://identifiers.org/hgnc/5136>,HOXD13
<http://purl.obolibrary.org/obo/MONDO_0013691>,Feingold syndrome type 2,Feingold syndrome type 2 (FS2) is a rare inherited malformation syndrome characterized by skeletal abnormalities and mild intellectual disabilities similar to those seen in Feingold syndrome type 1 (FS1) but that lacks the manifestations of gastrointestinal atresia and short palpebral fissures.,<http://identifiers.org/hgnc/23564>,MIR17HG
<http://purl.obolibrary.org/obo/MONDO_0011717>,hyperinsulinism-hyperammonemia syndrome,"Hyperinsulinism-hyperammonemia syndrome (HIHA) is a frequent form of diazoxide-sensitive diffuse hyperinsulinism, characterized by an excessive/ uncontrolled insulin secretion (inappropriate for the level of glycemia), asymptomatic hyperammonemia and recurrent episodes of profound hypoglycemia induced by fasting and protein rich meals, requiring rapid and intensive treatment to prevent neurological sequelae. Epilepsy and cognitive deficit that are unrelated to hypoglycemia may also occur.",<http://identifiers.org/hgnc/4335>,GLUD1
<http://purl.obolibrary.org/obo/MONDO_0007984>,metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome,"Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome is characterized by metaphyseal dysplasia associated with short stature and facial dysmorphism (a beaked nose, short philtrum, thin lips, maxillary hypoplasia, dystrophic yellowish teeth) and acral anomalies (short fifth metacarpals and/or short middle phalanges of fingers two and five). It has been described in several members spanning four generations of a French-Canadian family. The syndrome is likely to be transmitted as an autosomal dominant trait.",<http://identifiers.org/hgnc/10472>,RUNX2
<http://purl.obolibrary.org/obo/MONDO_0009953>,leukocyte adhesion deficiency type II,"Leukocyte adhesion deficiency type II (LAD-II) is a form of LAD characterized by recurrent bacterial infections, severe growth delay and severe intellectual deficit.",<http://identifiers.org/hgnc/20197>,SLC35C1
<http://purl.obolibrary.org/obo/MONDO_0011758>,Hurler syndrome,"Hurler syndrome is the most severe form of mucopolysaccharidosis type 1 (MPS1), a rare lysosomal storage disease, characterized by skeletal abnormalities, cognitive impairment, heart disease, respiratory problems, enlarged liver and spleen, characteristic facies and reduced life expectancy.",<http://identifiers.org/hgnc/5391>,IDUA
<http://purl.obolibrary.org/obo/MONDO_0009556>,malonic aciduria,Malonic aciduria is a metabolic disorder caused by deficiency of malonyl-CoA decarboxylase (MCD).,<http://identifiers.org/hgnc/7150>,MLYCD
<http://purl.obolibrary.org/obo/MONDO_0009492>,succinyl-CoA:3-ketoacid CoA transferase deficiency,"Succinyl-CoA:3-ketoacid CoA transferase deficiency (SCOTD) is a defect in ketone body utilization characterized by severe, potentially fatal intermittent episodes of ketoacidosis.",<http://identifiers.org/hgnc/8527>,OXCT1
<http://purl.obolibrary.org/obo/MONDO_0013788>,Usher syndrome type 3B,Any Usher syndrome in which the cause of the disease is a mutation in the HARS gene.,<http://identifiers.org/hgnc/4816>,HARS1
<http://purl.obolibrary.org/obo/MONDO_0014289>,macrocephaly-developmental delay syndrome,"Macrocephaly-developmental delay syndrome is a rare, intellectual disability syndrome characterized by macrocephaly, mild dysmorphic features (frontal bossing, long face, hooded eye lids with small, downslanting palpebral fissures, broad nasal bridge, and prominent chin), global neurodevelopmental delay, behavioral abnormalities (e.g. anxiety, stereotyped movements) and absence or generalized tonic-clonic seizures. Additional features reported in some patients include craniosynostosis, fifth finger clinodactyly, recurrent pneumonia, and hepatosplenomegally.",<http://identifiers.org/hgnc/6404>,KPTN
<http://purl.obolibrary.org/obo/MONDO_0009670>,lethal congenital contracture syndrome 1,"Lethal congenital contracture syndrome type 1 is a rare, genetic arthrogryposis syndrome characterized by total fetal akinesia (detectable since the 13th week of gestation) accompanied by hydrops, micrognathia, pulmonary hypoplasia, pterygia and multiple joint contractures (usually flexion contractures in the elbows and extension in the knees), leading invariably to death before the 32nd week of gestation. Lack of anterior horn motoneurons, severe atrophy of the ventral spinal cord and severe skeletal muscle hypoplasia are characteristic neuropathological findings, with no evidence of other organ structural anomalies.",<http://identifiers.org/hgnc/4315>,GLE1
<http://purl.obolibrary.org/obo/MONDO_0012669>,Legius syndrome,"Legius syndrome, also known as NF1-like syndrome, is a rare, genetic skin pigmentation disorder characterized by multiple cafC)-au-lait macules with or without axillary or inguinal freckling.",<http://identifiers.org/hgnc/20249>,SPRED1
<http://purl.obolibrary.org/obo/MONDO_0012323>,lethal acantholytic epidermolysis bullosa,"Lethal acantholytic epidermolysis bullosa is a suprabasal subtype of epidermolysis bullosa simplex (EBS) characterized by generalized oozing erosions, usually in the absence of blisters.",<http://identifiers.org/hgnc/3052>,DSP
<http://purl.obolibrary.org/obo/MONDO_0007615>,laurin-Sandrow syndrome,"Laurin-Sandrow syndrome (LSS) is characterized by complete polysyndactyly of the hands, mirror feet and nose anomalies (hypoplasia of the nasal alae and short columella), often associated with ulnar and/or fibular duplication (and sometimes tibial agenesis). It has been described in less than 20 cases. Some cases with the same clinical signs but without nasal defects have also been reported, and may represent the same entity. The etiology of LSS is unknown. Different modes of inheritance have been suggested.",<http://identifiers.org/hgnc/13243>,LMBR1
<http://purl.obolibrary.org/obo/MONDO_0008722>,short chain acyl-CoA dehydrogenase deficiency,"Short-chain acyl-CoA dehydrogenase (SCAD) deficiency is a very rare inborn error of mitochondrial fatty acid oxidation characterized by variable manifestations ranging from asymptomatic individuals (in most cases) to those with failure to thrive, hypotonia, seizures, developmental delay and progressive myopathy.",<http://identifiers.org/hgnc/90>,ACADS
<http://purl.obolibrary.org/obo/MONDO_0014012>,Charcot-Marie-Tooth disease axonal type 2Q,"Autosomal dominant Charcot-Marie-Tooth disease type 2Q is a rare subtype of autosomal dominant Charcot-Marie-Tooth disease type 2 characterized by adolescent to adulthood-onset of symmetrical, slowly progressive distal muscle weakness and atrophy (with a predominant weakness of the distal lower limbs) associated with reduced or absent deep tendon reflexes, pes cavus and mild to moderated deep sensory impairment.",<http://identifiers.org/hgnc/23537>,DHTKD1
<http://purl.obolibrary.org/obo/MONDO_0012901>,inherited prekallikrein deficiency,An instance of prekallikrein deficiency that is caused by an inherited modification of the individual's genome.,<http://identifiers.org/hgnc/6371>,KLKB1
<http://purl.obolibrary.org/obo/MONDO_0008814>,hyperargininemia,"Arginase deficiency is a rare autosomal recessive amino acid metabolism disorder characterized clinically by variable degrees of hyperammonemia, developing from about 3 years of age, and leading to progressive loss of developmental milestones and spasticity in the absence of treatment.",<http://identifiers.org/hgnc/663>,ARG1
<http://purl.obolibrary.org/obo/MONDO_0007158>,arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome,"Distal arthrogryposis type 5 is an inherited developmental defect syndrome characterized by multiple congenital contractures of limbs, without primary neurologic and/or muscle disease that affects limb function, and ocular anomalies (ptosis, external ophtalmoplegia and/or strabismus). Intelligence is normal.",<http://identifiers.org/hgnc/26270>,PIEZO2
<http://purl.obolibrary.org/obo/MONDO_0033135>,"Charcot-Marie-Tooth disease, demyelinating, type 1G","A rare autosomal dominant hereditary demyelinating motor and sensory neuropathy characterized by progressive distal muscle weakness and atrophy, distal sensory impairment, and decreased or absent reflexes in the affected limbs, with an onset in the first or second decade of life. Median motor nerve conduction velocities are typically less than 38 m/s. Patients often have foot deformities. Sural nerve biopsy shows decrease in myelinated fibers, myelin abnormalities, and onion bulb formation. Fatty replacement of muscle tissue predominantly affects the anterior and lateral compartment of the lower legs.",<http://identifiers.org/hgnc/9117>,PMP2
<http://purl.obolibrary.org/obo/MONDO_0013351>,infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly,"Infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly is a rare, central nervous system malformation syndrome characterized by progressive microcephaly with profound motor delay and intellectual disability, associated with hypertonia, spasticity, clonus, and seizures, with brain imaging revealing severe cerebral and cerebellar atrophy, and poor myelination.",<http://identifiers.org/hgnc/2375>,MED17
<http://purl.obolibrary.org/obo/MONDO_0018855>,keratosis pilaris atrophicans,An uncommon form of keratosis pilaris in which there are scar-like follicular depressions and loss of hair.,<http://identifiers.org/hgnc/6692>,LRP1
